,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
59,4309,LIBC,medium_airport,Crotone Airport,38.9972,17.0802,522.0,EU,Italy,IT,Calabria,IT-78,78,Crotone,1,LIBC,CRV,KR01,http://www.aeroporto.kr.it/cartaservizi_eng.asp,https://en.wikipedia.org/wiki/Crotone_Airport,Sant'Anna Airport,750,2016-09-19T02:01:14+00:00
61,29425,LILA,medium_airport,Alessandria Airport,44.925201,8.62513,299.0,EU,Italy,IT,Piedmont,IT-21,21,Alessandria,0,LILA,,AL03,http://www.aeroclubalessandria.it/,https://it.wikipedia.org/wiki/Aeroporto_di_Alessandria,,250,2016-08-25T05:42:29+00:00
62,4337,LILN,medium_airport,Varese-Venegono Airport,45.742199,8.888233,1100.0,EU,Italy,IT,Lombardy,IT-25,25,Varese,0,LILN,,VA02,http://www.aeroclubvarese.it/,https://en.wikipedia.org/wiki/Varese-Venegono_Airport,QVA,250,2021-07-09T15:11:20+00:00
70,4319,LICD,medium_airport,Lampedusa Airport,35.497898,12.6181,70.0,EU,Italy,IT,Sicily,IT-82,82,Lampedusa,1,LICD,LMP,AG01,,https://en.wikipedia.org/wiki/Lampedusa_Airport,,750,2016-07-08T02:44:13+00:00
71,4320,LICG,medium_airport,Pantelleria Airport,36.816502,11.9689,628.0,EU,Italy,IT,Sicily,IT-82,82,Pantelleria (TP),1,LICG,PNL,TP02,,https://en.wikipedia.org/wiki/Pantelleria_Airport,I D'Amico,750,2016-08-12T15:06:06+00:00
83,4311,LIBF,medium_airport,"Foggia ""Gino Lisa"" Airport",41.432899,15.535,265.0,EU,Italy,IT,Apulia,IT-75,75,Foggia,1,LIBF,FOG,FG05,,https://en.wikipedia.org/wiki/Foggia_%22Gino_Lisa%22_Airport,Foggia Airport,750,2022-11-10T16:44:57+00:00
84,4374,LIRI,medium_airport,Salerno Costa d'Amalfi Airport,40.620399,14.9113,119.0,EU,Italy,IT,Campania,IT-72,72,Salerno,0,LIRI,QSR,SA02,http://www.aeroportosalerno.it/,https://en.wikipedia.org/wiki/Salerno_Costa_d%27Amalfi_Airport,"Mario Martucci Airport, Aeroporto di Salerno Costa d'Amalfi, Salerno-Pontecagnano Airport",550,2019-09-07T10:44:10+00:00
88,29428,LILI,medium_airport,Vercelli Airport,45.310233,8.417935,417.0,EU,Italy,IT,Piedmont,IT-21,21,Vercelli,0,LILI,,VC04,http://www.aeroclubvercelli.it/,https://it.wikipedia.org/wiki/Aeroporto_di_Vercelli,Carlo del Prete,250,2016-09-06T06:13:42+00:00
119,4312,LIBG,medium_airport,"Taranto-Grottaglie ""Marcello Arlotta"" Airport",40.517502,17.4032,215.0,EU,Italy,IT,Apulia,IT-75,75,Grottaglie,0,LIBG,TAR,TA02,,https://en.wikipedia.org/wiki/Taranto-Grottaglie_Airport,"M Arlotta, Taranto-Grottaglie Airport, Grottaglie Airport",250,2022-03-22T15:29:17+00:00
120,4322,LICP,medium_airport,Palermo-Boccadifalco Airport,38.110802,13.3133,345.0,EU,Italy,IT,Sicily,IT-82,82,Palermo,0,LICP,,PA04,,https://en.wikipedia.org/wiki/Palermo%E2%80%93Boccadifalco_Airport,Emanuele Notarbartolo Airport,250,2016-09-28T05:04:40+00:00
121,4383,LIRV,medium_airport,Viterbo Airport,42.430199,12.0642,992.0,EU,Italy,IT,Lazio,IT-62,62,Viterbo,0,LIRV,,VT03,,,T Fabri,250,2016-07-03T13:38:37+00:00
233,30196,LIMR,medium_airport,Novi Ligure Airport,44.779999,8.78639,607.0,EU,Italy,IT,Piedmont,IT-21,21,Novi Ligure,0,LIMR,,AL05,http://www.voloavelanovi.it/,https://it.wikipedia.org/wiki/Aeroporto_di_Novi_Ligure,,250,2016-07-12T04:01:54+00:00
